lat,lon
48.62135,10.24707
48.62616,10.243499900000002
48.2626599,9.73515
48.67109,9.98929
48.72279,10.41348
48.6996315,10.2402124
48.28187,9.71919
48.28341,9.72789
48.1796099,9.7248
49.59854,9.69389
49.40467,9.83006
49.96986,9.14891
49.9599,9.16258
49.92256,9.07454
50.0839,9.2451399
50.11159,9.3648399
50.00491,9.24071
49.6993099,9.24908
48.1449799,11.55434
48.1478761,11.556152699999998
48.1393,11.54266
48.12229,11.5833
48.12229,11.5833
48.11854,11.57176
48.13542,11.60085
48.14405,11.6988
48.01859,11.59189
48.07093,11.53111
47.98506,11.165469900000002
48.21702,11.26359
48.18287,11.25289
48.13169,10.99382
47.97426,11.18329
47.83636,11.14285
47.67663,11.20106
47.67994,11.20055
47.43652,11.26031
47.59545,11.0666
47.56953,11.09307
47.8525599,12.11529
47.85568,12.122019900000002
47.64983,12.1725
47.90668,12.29967
47.89838,11.98831
47.95408,12.23555
47.87061,12.64861
47.84857,12.82332
48.05776,12.56971
47.99875,12.53101
47.8506237,12.5419127
47.8857799,12.84863
47.98726,12.54748
47.84226,12.98092
47.99749,12.82517
47.72192,12.87501
47.63455,13.00718
48.16142,12.18115
48.16069,12.18729
48.15218,12.2771899
48.08153,12.08896
47.8769,11.71595
47.76155,11.567
47.71034,11.55233
47.8134,11.63707
47.70774,11.75626
47.79402,11.83123
48.53456,12.1493
48.53825,12.1677
48.64183,11.78904
48.76928,12.22786
48.77749,12.25287
48.83789,12.1377
48.5584391,11.741470199999998
48.6580299,11.96478
48.52264,11.99319
48.6914299,11.71359
48.70065,11.85186
48.79054,12.06771
48.65752,12.09207
48.63054,12.50086
48.44662,12.35696
48.46011,12.56221
48.5454,12.52669
48.3892499,12.71517
48.52633,12.73657
48.4450999,13.092269900000002
48.31337,12.89369
48.27314000000001,12.14892
48.26547,12.2177399
48.2432299,12.28332
48.2100099,12.05524
48.171169281005895,12.0307197570801
48.24359000000001,12.52544
48.12866,12.78802
48.2109499,12.66684
48.23003,12.67798
48.27821,12.57542
48.23989,12.69112
48.19806,12.35037
48.1055599,12.56619
48.16982,12.38168
48.1873999,12.59557
48.7669,11.42286
48.74800000000001,11.46482
48.79493,11.43758
48.77441,11.39021
48.89403,11.16731
48.7712,11.61804
48.81071,11.50098
48.99508,11.20806
48.3874799,11.2558399
48.38786,11.2599
48.52935,11.50383
48.53038,11.50487
48.50148,11.45215
48.61519000000001,11.46097
48.39524,11.72896
48.38845,11.76078
48.40575,11.74712
48.35393,11.78744
48.30669,11.90699
48.31498,11.88799
48.40508,11.98915
48.33043,12.00362
48.36109,11.8894
48.04692,11.97266
48.1874899,11.86946
47.9934,11.89819
47.97113,11.78055
47.94223,11.7932
48.31279,11.54918
48.3621,10.89818
48.36761,10.88468
48.37001,10.8983399
48.3709599,10.9046299
48.37618,10.88894
48.3177,10.8908799
48.35259,10.88003
48.39934,10.59806
48.33095,10.73332
48.28273,10.4724799
48.43861,10.71024
48.33106,11.1170899
48.3431,10.69727
48.47938,10.92927
48.26545,10.44513
48.31592,10.64132
48.55596,11.26638
48.47063,11.12701
48.49148,11.1828
48.56100000000001,10.68163
48.68985,10.91618
48.62276,10.74553
48.59268,10.96142
48.8520899,10.48422
48.95802,10.5988399
48.88828,10.47537
48.00309,10.58991
47.98742,10.73568
47.82578,10.8748
47.72405,10.3142
47.62193,10.4993
47.5129499,10.27875
47.54205,10.24906
47.59748,10.12759
47.57376,10.2905
47.57423,10.31062
47.87806,10.61618
47.87839,10.61927
47.6103499,10.612869900000002
47.90904000000001,10.57526
47.8383899,10.58924
47.99611,10.1685
48.0015,10.50342
48.1726,10.47314
47.90431,10.15763
48.1203999,10.4552099
48.03602,10.2927
47.55873,9.71392
47.58414000000001,9.914249900000002
47.63117,9.88948
48.40305,10.02031
48.22196,10.11014
48.3781,10.09354
48.12103,10.1262899
48.14759,10.17153
48.47422,10.27469
48.36413,10.25359
48.34897,10.29431
48.55291,10.37158
49.45423,11.05061
49.457,11.07489
49.46451,11.08396
49.44334,10.95503
49.32702000000001,11.32889
49.42073,10.85191
49.44103,10.99634
49.59516,11.00826
49.60306,11.00421
49.5686899,10.88123
49.27441,10.92807
49.33125,11.02179
49.17436,10.9251
49.14923,11.21667
49.13186,11.12564
49.51189,11.27983
49.51344,11.2780799
49.51535,11.2799099
49.55471,11.23
49.50682000000001,11.42833
49.56127,11.36929
49.4500699,11.30877
49.54475,11.32669
49.62841,11.55009
49.70212,10.80566
49.70735,10.80608
49.7552764,10.9142241
49.76068,10.89448
49.71974,10.88928
49.74467,10.96707
49.75972,10.98281
49.76859,10.95055
49.69984,10.76285
49.0698999,10.32887
49.07024000000001,10.31703
49.32877,10.44148
49.2776985168457,10.683970451355
49.35851,10.69726
49.43991,10.21263
49.1034,10.78748
49.05451,10.50545
48.9563599,10.90896
49.0314,10.97488
48.9284,11.03582
49.04722,11.13236
49.06969,11.15101
49.06141,10.96458
